N_CA,COUR_APPEL,moyenne_age
1,Cour d'Appel d'Aix-en-Provence,41.1037750308078
10,Cour d'Appel de Montpellier,43.6051301134355
11,Cour d'Appel de Rennes,41.9952475437136
12,Cour d'Appel de Grenoble,41.1634884510511
13,Cour d'Appel d'Orl̩ans,42.1563104788698
14,Cour d'Appel d'Agen,46.4365278912557
14815,Cour d'Appel de Paris,40.1330315476825
15,Cour d'Appel d'Angers,41.6322543102462
16,Cour d'Appel de Reims,41.5641430516419
17,Cour d'Appel de Nancy,42.3789998936766
18,Cour d'Appel de Metz,42.0073127122503
19,Cour d'Appel de Douai,39.6174032805281
2,Cour d'Appel deCAen,43.6939160052354
20,Cour d'Appel de Riom,44.15311706364
21,Cour d'Appel de Pau,44.9700488163697
22,Cour d'Appel de Colmar,41.3334376992541
23,Cour d'Appel de Lyon,38.5030280207152
24,Cour d'Appel de Chamb̩ry,40.6151995472761
26,Cour d'Appel de Rouen,41.088176422695
27,Cour d'Appel de Versailles,38.6074270252528
28,Cour d'Appel d'Amiens,40.592884357999
29,Cour d'Appel de Poitiers,44.3397630325848
3,Cour d'Appel de Bourges,46.2682376742787
30,Cour d'Appel de Limoges,45.6416274977837
5,Cour d'Appel de Dijon,43.704470766656
6,Cour d'Appel de Besan̤on,42.0288192660485
7,Cour d'Appel de N̨mes,43.5660409907022
8,Cour d'Appel de Toulouse,41.0309077369723
9,Cour d'Appel de Bordeaux,42.7503679247877
NA,NA,40.1195687497629
