"N_CA","COUR_APPEL","pourcentage_mono"
"1","Cour d'Appel d'Aix-en-Provence",9.74139588073313
"10","Cour d'Appel de Montpellier",8.89690057005883
"11","Cour d'Appel de Rennes",7.38782056828176
"12","Cour d'Appel de Grenoble",8.28676756805128
"13","Cour d'Appel d'Orléans",7.5065017564228
"14","Cour d'Appel d'Agen",8.07410924884812
"14815","Cour d'Appel de Paris",9.57877234010259
"15","Cour d'Appel d'Angers",6.16681347790332
"16","Cour d'Appel de Reims",7.34022061509566
"17","Cour d'Appel de Nancy",7.79713541863127
"18","Cour d'Appel de Metz",8.22471492619
"19","Cour d'Appel de Douai",8.77163053491242
"2","Cour d'Appel deCAen",6.60311191243226
"20","Cour d'Appel de Riom",7.40926485906004
"21","Cour d'Appel de Pau",8.20179323492562
"22","Cour d'Appel de Colmar",7.9245884151223
"23","Cour d'Appel de Lyon",7.62570462084722
"24","Cour d'Appel de Chambéry",8.29759578086776
"26","Cour d'Appel de Rouen",7.34687226115661
"27","Cour d'Appel de Versailles",8.64654595971447
"28","Cour d'Appel d'Amiens",8.37459706373101
"29","Cour d'Appel de Poitiers",7.2479378659642
"3","Cour d'Appel de Bourges",7.29425334086633
"30","Cour d'Appel de Limoges",7.48202569443559
"4","Cour d'Appel de Bastia",11.4289422097312
"5","Cour d'Appel de Dijon",7.01598817743762
"6","Cour d'Appel de Besançon",7.4671956364946
"7","Cour d'Appel de Nîmes",8.58089755169433
"8","Cour d'Appel de Toulouse",9.14238472812592
"9","Cour d'Appel de Bordeaux",8.14712757653254
